"vinculo","avg_wage","ano"
"Conta-propria",2347.1796297546,2023
NA,5069.06902604026,2023
" Privado com carteira",3394.73375319567,2023
" Privado sem carteira",2161.26779629258,2023
"Setor Publico",3689.90139591609,2023
