"escolaridade","avg_wage","ano"
NA,3243.49349068015,2023
"Médio Completo",1767.9208649734,2023
"Superior Completo",1732.83342083996,2023
"Fundamental Incompleto",1447.59005328222,2023
"Fundamental Completo",1307.06643990942,2023
"Médio Incompleto",1473.49743463637,2023
