"vinculo","avg_wage","ano"
NA,5105.16487404075,2024
"Conta-propria",2478.61888203006,2024
" Privado com carteira",3412.51545878083,2024
"Setor Publico",3585.31442006122,2024
" Privado sem carteira",2196.17098193112,2024
