"setor_atividade","avg_wage","ano"
"Industria",2896.53138765945,2023
NA,3054.21390092758,2023
"Educ_saude",4112.97536628007,2023
"Servicos_pessoais_coletivos",1772.41155593455,2023
"Construção",2374.68786574357,2023
"Adm_publica",5276.63280348837,2023
"Alojamento_alimentacao",2083.34920908956,2023
"Servicos_profissionais",4416.40042733242,2023
"Comercio",2518.15800071756,2023
"Transporte",2820.08820094446,2023
"Agricultura",1967.67935238439,2023
