"renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
2826.30014798412,2988.64099827693,239206647656.656,252946522596.681,0.0800507353898681,0.62304407913539,0.505956182678347,0.526650527201127,"2012T1"
2831.01113951012,2815.78014990342,242856102048.149,241549523379.278,0.0760402226676313,0.629300042476617,0.500330674993165,0.510238853152259,"2012T2"
2851.03248901802,2841.90802220814,246536254316.277,245747237748.207,0.0714702985475348,0.628703136146103,0.498578112936229,0.505721980065573,"2012T3"
2840.90441054815,2865.64215595901,247108792904.768,249260542321.244,0.0692048332338123,0.626891300810552,0.496203747345135,0.504854438535403,"2012T4"
2881.2076691714,3001.14107718732,248153719821.453,258483388747.6,0.0806269341709233,0.625982840293403,0.49520805690554,0.510949061565043,"2013T1"
2912.15251087831,2895.92825025952,253796432625.639,252382475268.785,0.0753419842699908,0.628043709720552,0.495339665991196,0.503230303271266,"2013T2"
2951.02034415665,2935.75290240076,258994518571.256,257654580764.588,0.0702985652257196,0.626342053222798,0.493920004664687,0.501358765774057,"2013T3"
2928.76721953698,2950.58768562184,259167375942.062,261098274683.117,0.0626431092411148,0.624160164795362,0.489552693768928,0.497557479793613,"2013T4"
2984.77747740108,3093.40632318596,262424482249.834,271975233965.275,0.0725273139388357,0.623765377526103,0.490145416479209,0.503962916212913,"2014T1"
2962.47923353513,2961.37637597599,262710316062.66,262612515526.321,0.0693953370648439,0.624080088898199,0.490995424624998,0.499735804442025,"2014T2"
2986.23096040816,2968.44898977833,265344512150.442,263764477523.381,0.0688079237119418,0.623414155249755,0.494066563878732,0.50298754486721,"2014T3"
2977.91271799877,2985.66893987287,266364596362.581,267058365154.495,0.0659339685901801,0.623429150691611,0.488686561548093,0.497450359172944,"2014T4"
2973.8593408769,3072.38229430818,262824041655.977,271531313200.654,0.0806203436963035,0.624474232711157,0.486550790519686,0.503071056082263,"2015T1"
2963.04871568556,2951.30507418602,262709618437.543,261668404514.504,0.0844200520591398,0.627063085031081,0.491305531701073,0.501062710143742,"2015T2"
2927.17921641502,2904.44353953798,259634365923.519,257617761331.389,0.0904572353226028,0.628950777156468,0.490824868895288,0.502380495825491,"2015T3"
2880.06888089314,2993.3050178283,256598264563.262,266686980293.698,0.0909727190072594,0.628516907909336,0.489364121807739,0.505156067571079,"2015T4"
2882.65692618177,3184.2394110984,252670479422.928,279104770079.351,0.110951226021038,0.628954458868526,0.488665045624657,0.515323120373068,"2016T1"
2849.91400534337,2865.58086836229,250007632531.183,251382002187.673,0.114587612573065,0.629463839934726,0.484828966691566,0.498533567500999,"2016T2"
2871.54065173268,2887.03552417851,249719430978.708,251066920427.595,0.11947170872741,0.625288400330115,0.485859101601818,0.499375514817075,"2016T3"
2899.89168531207,2992.30822860974,253063729277.142,261128608118.054,0.121703708234856,0.627621507461878,0.491199135525676,0.507857869015425,"2016T4"
2935.94013864041,3227.74119631301,252090091434.186,277145151086.507,0.138977669313943,0.628684344564155,0.488610250213242,0.521148601721507,"2017T1"
2908.31163349871,2908.28925565855,253771151305.875,253769198678.036,0.13115792972909,0.630871882394226,0.489283477640129,0.507452743637259,"2017T2"
2918.63245767718,2938.34647509251,257452063001.039,259191033058.836,0.125354570007142,0.63258681379355,0.49182383952575,0.510395070108643,"2017T3"
2944.36271632557,3039.59571274795,262510168550.543,271000844581.657,0.11929829919349,0.632851208265678,0.497477198288834,0.515750665035739,"2017T4"
2965.50167484332,3252.24068038819,260674535267.165,285879564705.338,0.13274810214597,0.631579120014528,0.495834342444141,0.528153261475381,"2018T1"
2972.5504891533,2979.28564078226,262390039666.901,262984558316.637,0.125950259861336,0.628956605596737,0.499187355737376,0.517094105976867,"2018T2"
2961.6377020992,2979.81468850716,265679354897.675,267309956108.426,0.120226731873356,0.633393158076894,0.503076086228248,0.521922000785707,"2018T3"
2987.95474682742,3082.43743406159,269896979569.245,278431443464.043,0.117488904714007,0.633502334860854,0.502860233173124,0.521997807074513,"2018T4"
3004.82942700267,3303.26955441933,268764831783.606,295458596801.286,0.128775239518045,0.633744148159307,0.500471885490697,0.534906444816443,"2019T1"
2968.39600728642,2973.36248365355,269731594887.793,270182887635.86,0.121648753950646,0.637484710280209,0.502735624220804,0.520118119144172,"2019T2"
2977.46723833894,2993.85119423812,272589717460.73,274089682885.014,0.119342633245264,0.637773496338825,0.504035707272124,0.522273384034634,"2019T3"
2997.96149468432,3115.40784198333,277042124887.394,287895361552.934,0.110986229460166,0.635648657378945,0.503358464964549,0.52175694595644,"2019T4"
3033.88263732818,3329.11468722282,273692740263.046,300326225604.555,0.123916327549781,0.62727865723082,0.500610561815847,0.533184674313816,"2020T1"
3160.69779118421,2931.13327041941,257160318695.572,238482517393.046,0.136201198445894,0.572701416923861,0.496525075970567,0.539476578753238,"2020T2"
3193.95465085187,3037.30597025566,257273480719.877,244655408232.087,0.149368765788153,0.575715050610883,0.506367087320541,0.533937532854907,"2020T3"
3069.88473609442,3078.87527342885,258526617598.417,259283744789.589,0.142190211678921,0.595652008509069,0.501318652703048,0.522029546275007,"2020T4"
3046.34995807534,3239.62541368543,256169479660.89,272422134009.946,0.149741944859962,0.598300548849221,0.501715386442811,0.534814974169421,"2021T1"
2962.56588572416,2961.12588654928,255586022558.688,255461791174.209,0.142796054624067,0.607537339704376,0.499148945898924,0.522464006629889,"2021T2"
2849.71099324554,2862.63447767973,256024310984.264,257185385284.648,0.12660080530926,0.619159464032777,0.496021500206552,0.516323373227351,"2021T3"
