"avg_wage","Brasil","ano","trimestre"
2950.40370643911,1,2022,1
2999.47029934708,1,2022,2
3106.93721362437,1,2022,3
3165.57538252789,1,2022,4
3180.21109098849,1,2023,1
3180.20293459123,1,2023,2
3232.77744501172,1,2023,3
3264.54595209982,1,2023,4
3318.35902926423,1,2024,1
