"vinculo","avg_wage","ano"
"Conta-propria",2435.49097287797,2023
NA,4657.66634840826,2023
" Privado com carteira",2867.35607823029,2023
" Privado sem carteira",2147.18865671375,2023
"Setor Publico",3312.82281252298,2023
