raca,Ano_trimestre,t10,t5,t1,b10,b5,b1
Homem Pardo,2012T1,13.223719286603,11.8831205779039,8.30324506807258,17.411951329126,16.6209189485865,14.9981456374883
Mulher Branca,2012T1,23.3117001840006,24.2364193863774,19.3896807368017,11.8326867362953,10.9761496782937,10.3199008788043
Mulher Parda,2012T1,6.66921996145342,5.20428362472943,3.84202721783519,24.4029416294216,25.4019134706044,26.8372744061721
Homem Preto,2012T1,11.6998611268127,9.57767233783536,10.1809045657795,12.7228646753988,12.6271965563967,10.4412676084814
Homem Branco,2012T1,36.7963729463701,42.0497771025549,54.0711457441822,6.01421572753089,5.27613547739988,4.98765142191588
Mulher Preta,2012T1,8.29912649476023,7.04872697059896,4.21299666732886,27.6153399022275,29.0976858687189,32.415760047138
Mulher Branca,2012T2,23.9418634219102,25.1192131990467,22.5340201377509,10.7964221446105,10.4204107430439,9.95737389665182
Homem Pardo,2012T2,12.8438542345518,11.363342716115,9.69672997566304,17.3922115196144,17.0463771305027,14.6515111792369
Mulher Preta,2012T2,8.21671755861669,6.74242387880824,4.0916605038908,27.8647193586429,29.0099098128962,28.9649237273757
Homem Preto,2012T2,11.1469731347293,9.00336452710658,6.39999099321897,11.8581304390022,11.3724909407584,10.8543033844555
Homem Branco,2012T2,36.9787813896454,42.9109584555534,54.8943195979319,5.75838180666384,5.22241933420668,5.15492722816561
Mulher Parda,2012T2,6.87181026054661,4.86069722337016,2.38327879154443,26.3301347314661,26.9283920385922,30.4169605841145
Mulher Branca,2012T3,24.2441539573432,25.0517913638852,22.5933612678327,11.2587753622012,10.687891190172,9.16521976945439
Homem Pardo,2012T3,12.7793566775075,11.6071100724031,9.52377919991444,16.7602424239157,15.9151845162474,15.0438536333094
Mulher Preta,2012T3,8.28389072467296,6.61461098693223,4.13890659348326,28.2928862814891,29.9498047690322,30.36685520154
Homem Branco,2012T3,36.171499501548,42.1786578425819,56.4306237388278,5.82610104590367,5.26150162802128,4.36502973571865
Mulher Parda,2012T3,6.64286010608231,4.30219533246009,2.00821636406294,25.2747090443626,25.9549187352463,29.927345785765
Homem Preto,2012T3,11.878239032846,10.2456344017376,5.30511283587883,12.5872858421277,12.2306991612808,11.1316958742126
Mulher Preta,2012T4,8.00565728398456,6.1444435160645,4.21884287802477,29.6502116555019,31.0283204910841,32.7157158824733
Mulher Branca,2012T4,23.2270155542661,24.5668950679544,21.521536938247,11.2829912835601,10.7084359723597,9.63230837274993
Homem Pardo,2012T4,12.4914431299066,10.9347959501016,8.95606341561885,17.4388886179825,16.6818532222775,15.5687523595329
Homem Preto,2012T4,12.8264539716374,10.5984022308997,6.42996685664868,11.5552993754054,11.1152061270753,10.2778696714409
Homem Branco,2012T4,35.8333807907598,42.6509648197293,56.0935936438527,5.68328351758395,4.87147776371193,4.50763603606271
