gender_race,Ano_trimestre,t10,t5,t1,b10,b5,b1
homem_negro,2012T1,16.0360137484785,13.9616730083362,10.2385373430616,25.8446025364428,24.9031670195579,20.0807917741845
mulher_branca,2012T1,28.6631615437678,27.53566389975,22.6522423811683,20.170029210789,19.2375815929014,18.7088726784079
homem_branco,2012T1,45.6741052115272,50.4092125602892,62.2533939966634,8.97680782521335,7.91967158297342,6.15552239637186
mulher_negra,2012T1,9.62671949622655,8.09345053162449,4.85582627910678,45.0085604275549,47.9395798045673,55.0548131510358
mulher_branca,2012T2,29.392318450969,28.1119609556971,25.5331141860065,17.2124716077758,17.9148805797679,18.176669450699
homem_negro,2012T2,15.4717913590296,13.3447550555453,9.75730981090612,27.4688979940033,25.6682727055203,22.9842722175916
mulher_negra,2012T2,9.21330862648682,7.4944803468519,4.16346881554256,46.6382034836782,48.4648744488149,50.5049856155112
homem_branco,2012T2,45.9225815635146,51.0488036419057,60.5461071875448,8.68042691454269,7.95197226589691,8.33407271619815
mulher_branca,2012T3,31.3042388188871,30.7743425486797,25.5176083726487,18.9982086416763,17.4304545655402,15.7306915414048
homem_negro,2012T3,14.9955905063582,13.1476363530979,9.19249999969976,24.9610606838277,24.0781770823129,23.6521600598297
mulher_negra,2012T3,9.80216987256572,7.64614394251942,4.90257129723011,45.7853145817606,49.2081415445256,53.211171769977
homem_branco,2012T3,43.898000802189,48.4318771557029,60.3873203304214,10.2554160927354,9.28322680762131,7.40597662878851
mulher_branca,2012T4,30.4895325827235,31.2144247477997,25.2562506384034,18.0974157044045,17.1608596530076,17.5014974245392
homem_negro,2012T4,15.1378423875742,12.0440433538987,8.45932677319719,26.1158856071441,25.2483556944585,22.2140466841204
mulher_negra,2012T4,9.51592758768929,6.32873599411284,3.6041161650692,47.4382136610368,50.2452032801946,53.4164729006626
homem_branco,2012T4,44.856697442013,50.4127959041888,62.6803064233302,8.34848502741462,7.34558137233938,6.86798299067782
mulher_branca,2013T1,30.1629541408361,28.60198414987,24.2506262609023,18.4498377909318,17.2497933766749,15.3805329710382
homem_negro,2013T1,15.0336984331967,13.5943485320076,11.050425250646,26.1919033050686,25.1592078572957,20.602764193382
mulher_negra,2013T1,9.26912529317438,6.6608519475793,3.82549626108219,46.7206662179931,49.921018747257,55.6312417228301
homem_branco,2013T1,45.5342221327929,51.1428153705432,60.8734522273695,8.63759268600658,7.66998001877248,8.38546111274971
mulher_negra,2013T2,9.40000582076927,7.10887673160726,4.83116195167657,45.1920983084319,48.3201427428227,51.5546114138442
homem_negro,2013T2,14.9603347851579,13.3473450622885,11.4740445070613,26.7517995600565,25.9614524338203,24.7489497057397
homem_branco,2013T2,45.356434807285,50.7142159607226,60.7255153449582,8.19958299815431,6.97823022017516,7.01884468223099
mulher_branca,2013T2,30.2832245867879,28.8295622453817,22.969278196304,19.8565191333573,18.7401746031818,16.677594198185
homem_negro,2013T3,15.480411179781,13.8031355203295,11.3565320052387,26.5510238793128,25.6867403746585,21.2136029985659
mulher_negra,2013T3,9.58342289584412,7.62303623269511,5.50521149249296,46.12821171244,50.835497821969,54.9376015232997
mulher_branca,2013T3,29.814681572794,29.3042241700822,24.0138562405044,18.963928420251,16.2585747085924,16.5414826758867
homem_branco,2013T3,45.1214843515809,49.2696040768933,59.124400261764,8.35683598799621,7.21918709478005,7.30731280224784
homem_negro,2013T4,15.5495890617468,13.6727957984985,11.5931657299219,26.7644200996009,25.9458671071407,22.1426096039087
mulher_negra,2013T4,9.09587883972419,7.39604175576612,4.99453465349887,46.5855005897054,50.24358352621,53.9734022109292
homem_branco,2013T4,45.7105295981553,50.7861150168004,58.0341313112389,8.52725591992747,7.60226844829286,7.0046559567869
mulher_branca,2013T4,29.6440025003737,28.145047428935,25.3781683053404,18.1228233907663,16.2082809183564,16.8793322283752
homem_negro,2014T1,16.045584710794,13.4015689997321,12.261926048921,27.4308945116031,26.9358137257893,23.6033365968962
mulher_negra,2014T1,9.39115500815639,6.8757321650824,4.52470186241663,46.4247165083731,49.7894114116871,52.7404305542953
mulher_branca,2014T1,29.5955070966085,28.9881299410926,22.9355659156289,18.0660745137707,16.1244496724934,17.1712558882255
homem_branco,2014T1,44.967753184441,50.734568894093,60.2778061730334,8.07831446625308,7.15032519003029,6.48497696058292
homem_negro,2014T2,15.9776070167255,13.4116757272095,10.8340498167915,27.8870134792401,27.2465855629391,23.7350011541629
mulher_negra,2014T2,10.1204858997541,7.25100758932809,5.23793773586593,46.0236758247517,49.7566644416878,54.2605132169782
homem_branco,2014T2,44.5420460720721,50.0470385396536,60.4520116665819,8.36560349711936,7.15058830275726,7.27840724247808
mulher_branca,2014T2,29.3598610114483,29.2902781438089,23.4760007807606,17.7237071988888,15.8461616926159,14.7260783863808
homem_negro,2014T3,16.0298794851294,13.3241802646858,11.6380892468883,27.0118094766619,26.2960842213455,21.6131972765117
mulher_branca,2014T3,29.6212795204261,29.7274874117538,24.5052255451233,18.3096344426283,16.2297834068991,15.9689191736076
