"gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"homem_negro",2492.33746745698,2629.99478301981,51278716212.148,54110953223.1636,0.0476541184578725,0.856399503654827,0.448088230647045,0.475162528111468,"2012T1"
"mulher_branca",3146.69565688809,3350.31050052455,45282454599.8429,48212569526.159,0.0601572175092047,0.617413493524467,0.49731856292783,0.512392998117321,"2012T1"
"homem_branco",4610.76104226982,4868.00148592773,88574711474.4623,93516411525.2083,0.0349849170357569,0.861360803684129,0.517493451893642,0.533893992796038,"2012T1"
"mulher_negra",1855.81403088966,1983.19963607867,24775838393.3449,26476485718.5989,0.0889390422586513,0.581610829539682,0.443848544120556,0.472265293829878,"2012T1"
"mulher_branca",3210.53966184642,3196.62798813101,46848702503.6939,46645701160.659,0.0540523405250157,0.631986633118048,0.494951815984678,0.501210338459714,"2012T2"
"homem_negro",2486.02377540961,2465.38714178074,52100127185.2921,51667640880.3036,0.0489624186044256,0.858778470792327,0.44285711138582,0.455534808423181,"2012T2"
"mulher_negra",1854.17851809973,1842.87290152097,25306593445.1678,25152289725.4273,0.0822324421658004,0.585674438250501,0.436899329706648,0.445831485811141,"2012T2"
"homem_branco",4589.89886639042,4586.5787603789,88466707241.9687,88402714797.8901,0.0351006683993103,0.873195188207374,0.51007039808519,0.518116966608432,"2012T2"
"mulher_branca",3230.42613776204,3234.90134117582,47687201122.7761,47753263591.3661,0.05058877291396,0.637555710787879,0.489937376227317,0.494546700848332,"2012T3"
"homem_negro",2498.68773130958,2485.69303411858,52749748811.5581,52475418008.1853,0.0480308039871282,0.857072087953453,0.435744803440684,0.444992845339584,"2012T3"
"mulher_negra",1874.69293794874,1867.97819531036,25911418293.9674,25818609225.4968,0.0805679465216304,0.584447558531555,0.437491617078194,0.444373040627397,"2012T3"
"homem_branco",4640.63274623122,4631.90279532461,89197709029.5219,89029910441.8311,0.0333410351619861,0.870232993690317,0.510703560305956,0.515997600917217,"2012T3"
"mulher_branca",3235.990101,3277.12193154705,47608044039.7511,48213177534.9105,0.0485218680752035,0.634829739365422,0.491822079601661,0.497155827261849,"2012T4"
"homem_negro",2495.03006489891,2510.39633843419,53449996730.5548,53779182050.5138,0.0485978037383563,0.858898003616334,0.432879922322172,0.444125425992752,"2012T4"
"mulher_negra",1864.71790467616,1879.37617130256,26203836979.8349,26409821396.0955,0.0750103897873742,0.58130138808588,0.43486231307179,0.444351179008663,"2012T4"
"homem_branco",4616.26852893783,4659.82965995916,88987667955.7902,89827394552.8902,0.032303452903238,0.872245247113275,0.504355713349469,0.510824531895196,"2012T4"
"mulher_branca",3267.15265390257,3419.85645628515,47432566469.1309,49649522339.8488,0.0576409774671512,0.633303776358454,0.488058892584377,0.49908899705224,"2013T1"
"homem_negro",2540.27567730182,2638.49615138253,54459655217.8315,56565353115.7262,0.0546227906934287,0.857182859659276,0.435096888173575,0.457390304016371,"2013T1"
