Ano_trimestre,Decomposição,Perda
2018T3,Salários - Efeito Discriminação,-11.41
2018T4,Salários - Efeito Discriminação,-11.89
2019T1,Salários - Efeito Discriminação,-11.8
2019T2,Salários - Efeito Discriminação,-12.08
2019T3,Salários - Efeito Discriminação,-12.11
2019T4,Salários - Efeito Discriminação,-12.16
2020T1,Salários - Efeito Discriminação,-12.11
2020T2,Salários - Efeito Discriminação,-10.99
2020T3,Salários - Efeito Discriminação,-11.03
2020T4,Salários - Efeito Discriminação,-10.68
2021T1,Salários - Efeito Discriminação,-10.12
2021T2,Salários - Efeito Discriminação,-11.12
2021T3,Salários - Efeito Discriminação,-10.1
2021T4,Salários - Efeito Discriminação,-9.78
2022T1,Salários - Efeito Discriminação,-10.21
2022T2,Salários - Efeito Discriminação,-11.49
2022T3,Salários - Efeito Discriminação,-11.56
2022T4,Salários - Efeito Discriminação,-12.15
2023T1,Salários - Efeito Discriminação,-11.17
2023T2,Salários - Efeito Discriminação,-11.84
2023T3,Salários - Efeito Discriminação,-12.32
2023T4,Salários - Efeito Discriminação,-12.55
2024T1,Salários - Efeito Discriminação,-13.03
2012T1,Empregabilidade - Efeito Composição,-3.4
2012T2,Empregabilidade - Efeito Composição,-3.28
2012T3,Empregabilidade - Efeito Composição,-2.82
2012T4,Empregabilidade - Efeito Composição,-2.8
2013T1,Empregabilidade - Efeito Composição,-3.58
2013T2,Empregabilidade - Efeito Composição,-2.99
2013T3,Empregabilidade - Efeito Composição,-3.39
2013T4,Empregabilidade - Efeito Composição,-3.38
2014T1,Empregabilidade - Efeito Composição,-3.58
2014T2,Empregabilidade - Efeito Composição,-3.57
2014T3,Empregabilidade - Efeito Composição,-3.26
2014T4,Empregabilidade - Efeito Composição,-3.55
2015T1,Empregabilidade - Efeito Composição,-2.87
2015T2,Empregabilidade - Efeito Composição,-3.23
2015T3,Empregabilidade - Efeito Composição,-3.16
2015T4,Empregabilidade - Efeito Composição,-3.06
2016T1,Empregabilidade - Efeito Composição,-2.81
2016T2,Empregabilidade - Efeito Composição,-2.49
2016T3,Empregabilidade - Efeito Composição,-3.49
2016T4,Empregabilidade - Efeito Composição,-3.5
2017T1,Empregabilidade - Efeito Composição,-3.1
2017T2,Empregabilidade - Efeito Composição,-3.44
2017T3,Empregabilidade - Efeito Composição,-3.69
2017T4,Empregabilidade - Efeito Composição,-3.31
2018T1,Empregabilidade - Efeito Composição,-3.79
2018T2,Empregabilidade - Efeito Composição,-3.77
2018T3,Empregabilidade - Efeito Composição,-3.32
2018T4,Empregabilidade - Efeito Composição,-4.23
