"nonwhite","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
1,2241.84811864124,2375.46323576337,76054554605.4928,80587438941.7625,0.0646314126181998,0.717080262800021,0.452776291433111,0.479294085860602,"2012T1"
0,3983.73633632592,4218.01019910551,133857166074.305,141728981051.367,0.046118365014847,0.733226642228761,0.51745348575605,0.532558133971179,"2012T1"
0,3995.56813245762,3987.68438980511,135315409745.663,135048415958.549,0.0435386637882798,0.74636370389201,0.511294027899567,0.5186314749335,"2012T2"
1,2236.82484080525,2219.86834797155,77406720630.4598,76819930605.7309,0.062672423159062,0.720356824882091,0.446728941227775,0.457917709314643,"2012T2"
0,4028.05088096895,4025.05713780388,136884910152.298,136783174033.197,0.0410679638443673,0.747945859007347,0.50956976319867,0.514439896163822,"2012T3"
1,2251.79388913406,2241.28395964413,78661167105.5255,78294027233.6821,0.0614554540384607,0.7187421830801,0.442379409436398,0.450650978669728,"2012T3"
0,4018.81898478961,4061.32860009383,136595711995.541,138040572087.801,0.039537047919903,0.747552967119324,0.506488360568255,0.512332119358689,"2012T4"
1,2245.34951901086,2260.43533539703,79653833710.3897,80189003446.6093,0.0594585673755082,0.71792354353273,0.439949960127706,0.450402185662824,"2012T4"
0,4062.62341425192,4237.30887173067,136783550170.94,142664995385.221,0.0449810983508365,0.745681779781743,0.506673183856037,0.516311274328473,"2013T1"
1,2278.19795503069,2373.754315617,80797172809.7625,84186116146.4535,0.0691748106893018,0.718278908541707,0.439140140024392,0.460602410716092,"2013T1"
1,2307.12109862534,2282.16066407642,82653869457.1835,81759648299.9019,0.0646933513381432,0.722009552038961,0.441382831384544,0.449622506359447,"2013T2"
0,4103.19384595176,4097.26993308269,140221642046.306,140019199553.695,0.0427147663771071,0.751461870997388,0.505904748621106,0.511371246093404,"2013T2"
1,2351.56972481317,2336.14414056586,84671637670.1445,84116217404.9249,0.0584059860422799,0.722831781998733,0.443076560903137,0.45162846187668,"2013T3"
0,4108.50267795204,4093.64197008883,142292555467.659,141777874508.763,0.0403592760052918,0.749270325801255,0.500296111182251,0.505108229395773,"2013T3"
1,2340.73380612163,2357.82642352423,85952270569.3255,86579915315.5517,0.0527703792559588,0.72477990364846,0.44096111717954,0.450562041020021,"2013T4"
0,4118.52152375451,4156.06521809119,142209136841.566,143505489509.548,0.037180662460961,0.746296194873818,0.495276163126618,0.501245898847628,"2013T4"
1,2376.05930072311,2467.22124620721,86682010908.8443,90007727885.0661,0.0601114152383091,0.723619192485615,0.438611140583816,0.456870785659703,"2014T1"
0,4180.17904477046,4341.36650334414,144637962313.766,150215193649.778,0.0410306325302582,0.744339212471335,0.499324083561078,0.509323104113719,"2014T1"
1,2360.65582199404,2358.48155826954,87432856789.1217,87352327434.9168,0.0576289839931428,0.72587197852734,0.441531629054225,0.452772232703865,"2014T2"
0,4158.78254420057,4164.31728478312,144360058493.783,144552180939.656,0.0393275862609715,0.745606676827462,0.498890269578624,0.504478343771552,"2014T2"
1,2380.67486787394,2360.75512872219,89333784897.3299,88586305383.5978,0.0560501309740673,0.725583317333158,0.441442433679185,0.451619465289696,"2014T3"
0,4211.87614400979,4203.92910498149,145503814978.698,145229275923.686,0.0397817044190165,0.747244266288725,0.504596082173521,0.510034293003628,"2014T3"
0,4190.27886415238,4213.38304586048,145552257320.834,146354797178.01,0.0390006992112147,0.749103675963861,0.497963401419838,0.502840680552254,"2014T4"
1,2383.21228770624,2385.02117439856,90168737494.7924,90237176647.3427,0.0548411431423838,0.725835042504457,0.435069809482229,0.445650984900567,"2014T4"
0,4181.00251731135,4331.8319519741,143588592503.237,148768543039.409,0.0467355213590219,0.749420374453964,0.498827934441579,0.509057449004104,"2015T1"
1,2376.73849382797,2454.58479101708,89583255469.0016,92517412822.2476,0.0659921048350239,0.724789764786711,0.431895315312431,0.45359900467156,"2015T1"
1,2345.22162943662,2331.23868662043,88114745489.1344,87589377894.0327,0.0708325075078409,0.729863501644628,0.434050385920273,0.445477117256814,"2015T2"
0,4170.41289640762,4166.76583462563,145542177533.408,145414899653.128,0.0494007497682568,0.7528049220732,0.502135434013326,0.508456992711217,"2015T2"
1,2327.60682082903,2301.99240968054,87977213253.27,87009058111.3439,0.0761415371796214,0.732771928488484,0.437369729574129,0.450661597209546,"2015T3"
0,4106.54914835001,4093.0906830356,143422340636.029,142952300091.759,0.0533931950107971,0.75514222971677,0.498170608030705,0.506916248363268,"2015T3"
1,2285.96118934955,2368.04718171829,86883332068.0356,90003203291.7185,0.0765921765150365,0.729451279109284,0.436101530609449,0.456224003672105,"2015T4"
0,4034.44555922016,4204.63977630377,141538232096.931,147509062102.081,0.0539831802581173,0.757095021098266,0.496703272470768,0.508504661329425,"2015T4"
1,2278.89328805665,2515.49641691193,86226314460.2526,95178649305.3619,0.0913624373235067,0.728186349642014,0.435349368624884,0.471005624749523,"2016T1"
0,4035.65130631955,4474.77584205115,139638545836.505,154832799986.925,0.0628998712597012,0.757139599018286,0.495651490076852,0.515008568039775,"2016T1"
1,2248.68677542378,2244.09622412444,85046007586.4182,84872391560.8798,0.0958451269116902,0.728660768069548,0.428157204911258,0.443527923256624,"2016T2"
0,3976.64126043129,4028.10911756991,137890069593.129,139674717978.003,0.0666214052952657,0.759587346434764,0.49285951683305,0.503949084657506,"2016T2"
1,2257.51731599423,2263.53216868601,85479314528.4145,85707062719.5093,0.101705029144065,0.726923735370752,0.430037719506799,0.447151230862801,"2016T3"
