"renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre","gender_race"
3108.61295668511,3292.31593851159,209911720679.798,222316419993.13,0.0555247605922243,0.724932900331476,0.509144158324489,0.527894664897758,"2012T1","Brasil"
3106.70246177653,3094.23336763299,212722130376.122,211868346564.28,0.0533265375269112,0.732829535455503,0.503579972923035,0.51237593426049,"2012T2","Brasil"
3127.68273891874,3120.87911083965,215546077257.824,215077201266.879,0.0515342562063068,0.732663236598425,0.500727984817786,0.506943414977286,"2012T3","Brasil"
3113.1147965275,3141.61918083259,216249545705.931,218229575534.41,0.0498335658203086,0.731939895720671,0.497883538111637,0.505440732984425,"2012T4","Brasil"
3147.22444662048,3281.31717817133,217580722980.703,226851111531.675,0.0575801054436003,0.731155758745216,0.497343933217053,0.51122176755598,"2013T1","Brasil"
3183.96662575009,3168.2998508883,222875511503.49,221778847853.597,0.0541296256441206,0.735871748935638,0.49774882105703,0.504499683516769,"2013T2","Brasil"
3212.9648812288,3197.81624652608,226964193137.803,225894091913.688,0.049677751921832,0.735381678674352,0.494415145436506,0.500659382225422,"2013T3","Brasil"
3202.29251015353,3229.29621152,228161407410.891,230085404825.1,0.0453062754877672,0.734924584877797,0.491257364992634,0.4984366350036,"2013T4","Brasil"
3254.25475586016,3379.50317899732,231319973222.611,240222921534.844,0.0509574973169688,0.733413620317369,0.492195045982953,0.504901085852907,"2014T1","Brasil"
3230.5802003422,3232.13551290211,231792915282.905,231904508374.573,0.0488984991666549,0.735154228612108,0.493148164921877,0.500935137999477,"2014T2","Brasil"
3258.43624084389,3244.25545231186,234837599876.028,233815581307.284,0.0483463968870907,0.735681906283718,0.496224753427668,0.503652508050436,"2014T3","Brasil"
3248.15855129738,3260.1603584366,235720994815.626,236591973825.353,0.0473409450293071,0.736669496352094,0.489680515052896,0.496958265874127,"2014T4","Brasil"
