Ano_trimestre,gender_race,pea_fac
2020T2,Homem Branco,0.883591930157223
2020T3,Mulher Negra,0.605623093723548
2020T3,Homem Negro,0.84794481229123
2020T3,Mulher Branca,0.685654607684079
2020T3,Homem Branco,0.883520599468163
2020T4,Mulher Negra,0.634014818678991
2020T4,Homem Negro,0.867583230268883
2020T4,Mulher Branca,0.712502111070325
2020T4,Homem Branco,0.89860786280135
2021T1,Mulher Negra,0.641902986626833
2021T1,Homem Negro,0.874046647517626
2021T1,Mulher Branca,0.712560697099199
2021T1,Homem Branco,0.902547118625377
2021T2,Mulher Negra,0.647381724102398
2021T2,Homem Negro,0.881040234560522
2021T2,Mulher Branca,0.724153914071243
2021T2,Homem Branco,0.912846226084245
2021T3,Mulher Negra,0.663719004361115
2021T3,Homem Negro,0.886848602069317
2021T3,Mulher Branca,0.736842942337329
2021T3,Homem Branco,0.918073765374883
2021T4,Mulher Negra,0.669434533755017
2021T4,Homem Negro,0.890372900375725
2021T4,Mulher Branca,0.750729897547942
2021T4,Homem Branco,0.917326925514651
2022T1,Mulher Negra,0.667547101205638
2022T1,Homem Negro,0.884118081668173
2022T1,Mulher Branca,0.743838375699134
2022T1,Homem Branco,0.914938019186118
2022T2,Mulher Negra,0.673219839314225
2022T2,Homem Negro,0.888618874635815
2022T2,Mulher Branca,0.751244811602214
2022T2,Homem Branco,0.916046170005043
2022T3,Mulher Negra,0.675823396253397
2022T3,Homem Negro,0.889758643648182
2022T3,Mulher Branca,0.752580208727204
2022T3,Homem Branco,0.917251097985823
2022T4,Homem Negro,0.887633980394681
2022T4,Mulher Negra,0.667582709162559
2022T4,Homem Branco,0.913466476202949
2022T4,Mulher Branca,0.74652253320535
2023T1,Homem Negro,0.880241362489254
2023T1,Mulher Negra,0.661215247769767
2023T1,Homem Branco,0.908819429700851
2023T1,Mulher Branca,0.74196464507283
2023T2,Homem Negro,0.883144999711627
2023T2,Mulher Negra,0.660940494463237
2023T2,Homem Branco,0.909283362880508
2023T2,Mulher Branca,0.744640892817533
2023T3,Homem Negro,0.886927507480591
2023T3,Mulher Negra,0.662929630350719
2023T3,Homem Branco,0.912062241098276
2023T3,Mulher Branca,0.745800879750021
2023T4,Homem Negro,0.890167317104707
2023T4,Mulher Negra,0.669776320732826
2023T4,Homem Branco,0.914975142971871
2023T4,Mulher Branca,0.753152202474427
2024T1,Homem Negro,0.888047366382048
2024T1,Mulher Negra,0.661670425208828
2024T1,Homem Branco,0.915699865858406
2024T1,Mulher Branca,0.749690179309263
2012T1,Brasil,0.775104914299183
2012T2,Brasil,0.783826179553157
2012T3,Brasil,0.783820911775675
2012T4,Brasil,0.782124254176329
2013T1,Brasil,0.782426244565652
2013T2,Brasil,0.786557266157861
2013T3,Brasil,0.787020437551806
2013T4,Brasil,0.786544623067312
2014T1,Brasil,0.785592149020847
2014T2,Brasil,0.78758812639348
2014T3,Brasil,0.788450808651708
2014T4,Brasil,0.789273481453578
2015T1,Brasil,0.789477401474862
2015T2,Brasil,0.79397141567359
2015T3,Brasil,0.797109777398859
2015T4,Brasil,0.796644389995642
2016T1,Brasil,0.796433365488726
2016T2,Brasil,0.798018266518553
2016T3,Brasil,0.796216827873685
2016T4,Brasil,0.797217343036005
2017T1,Brasil,0.797189230487891
2017T2,Brasil,0.800149113630889
2017T3,Brasil,0.801603590728134
2017T4,Brasil,0.802725958086604
2018T1,Brasil,0.800308465199221
2018T2,Brasil,0.799176038481948
2018T3,Brasil,0.803622301401774
2018T4,Brasil,0.805348491886653
2019T1,Brasil,0.803802386609822
2019T2,Brasil,0.808673662505041
2019T3,Brasil,0.808962179278079
2019T4,Brasil,0.808758132021503
2020T1,Brasil,0.799753492370214
2020T2,Brasil,0.742258245660499
2020T3,Brasil,0.749277449676697
2020T4,Brasil,0.772470183330886
2021T1,Brasil,0.777173805178423
2021T2,Brasil,0.785460721546489
2021T3,Brasil,0.795628815898444
2021T4,Brasil,0.801151495672461
2022T1,Brasil,0.796696911932707
2022T2,Brasil,0.801637582517744
2022T3,Brasil,0.80321004815241
2022T4,Brasil,0.797966587376416
2023T1,Brasil,0.791877046764111
2023T2,Brasil,0.793432790920869
2023T3,Brasil,0.795967571358381
2023T4,Brasil,0.800891899025686
2024T1,Brasil,0.797168560817574
