Ano_trimestre,Decomposição,Perda
2018T4,Empregabilidade - Efeito Composição,5.71
2019T1,Empregabilidade - Efeito Composição,6.13
2019T2,Empregabilidade - Efeito Composição,5.9
2019T3,Empregabilidade - Efeito Composição,5.51
2019T4,Empregabilidade - Efeito Composição,5.79
2020T1,Empregabilidade - Efeito Composição,6.11
2020T2,Empregabilidade - Efeito Composição,8.17
2020T3,Empregabilidade - Efeito Composição,7.11
2020T4,Empregabilidade - Efeito Composição,6.26
2021T1,Empregabilidade - Efeito Composição,6.03
2021T2,Empregabilidade - Efeito Composição,5.37
2021T3,Empregabilidade - Efeito Composição,4.96
2021T4,Empregabilidade - Efeito Composição,5.15
2022T1,Empregabilidade - Efeito Composição,5.65
2022T2,Empregabilidade - Efeito Composição,5.06
2022T3,Empregabilidade - Efeito Composição,5.38
2022T4,Empregabilidade - Efeito Composição,5.73
2023T1,Empregabilidade - Efeito Composição,6.17
2023T2,Empregabilidade - Efeito Composição,6.26
2023T3,Empregabilidade - Efeito Composição,5.83
2023T4,Empregabilidade - Efeito Composição,5.9
2024T1,Empregabilidade - Efeito Composição,6.58
2024T2,Empregabilidade - Efeito Composição,6.07
2012T1,Salários - Efeito Discriminação,0
2012T2,Salários - Efeito Discriminação,0
2012T3,Salários - Efeito Discriminação,0
2012T4,Salários - Efeito Discriminação,0
2013T1,Salários - Efeito Discriminação,0
2013T2,Salários - Efeito Discriminação,0
2013T3,Salários - Efeito Discriminação,0
2013T4,Salários - Efeito Discriminação,0
2014T1,Salários - Efeito Discriminação,0
2014T2,Salários - Efeito Discriminação,0
2014T3,Salários - Efeito Discriminação,0
2014T4,Salários - Efeito Discriminação,0
2015T1,Salários - Efeito Discriminação,0
2015T2,Salários - Efeito Discriminação,0
2015T3,Salários - Efeito Discriminação,0
2015T4,Salários - Efeito Discriminação,0
2016T1,Salários - Efeito Discriminação,0
2016T2,Salários - Efeito Discriminação,0
2016T3,Salários - Efeito Discriminação,0
2016T4,Salários - Efeito Discriminação,0
2017T1,Salários - Efeito Discriminação,0
2017T2,Salários - Efeito Discriminação,0
2017T3,Salários - Efeito Discriminação,0
2017T4,Salários - Efeito Discriminação,0
2018T1,Salários - Efeito Discriminação,0
2018T2,Salários - Efeito Discriminação,0
2018T3,Salários - Efeito Discriminação,0
2018T4,Salários - Efeito Discriminação,0
2019T1,Salários - Efeito Discriminação,0
2019T2,Salários - Efeito Discriminação,0
2019T3,Salários - Efeito Discriminação,0
